Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
"Fluke: Or, I Know Why the Winged Whale Sings",Christopher Moore,"Moore, Christopher",,006056668X,9.78006E+12,5,3.77,324,2004,2003,,9/25/07,,,read
"Coyote Waits (Leaphorn & Chee, #10)",Tony Hillerman,"Hillerman, Tony",,61099325,9.78006E+12,3,4.07,352,1992,1990,,9/25/07,,,read
Interpreter of Maladies,Jhumpa Lahiri,"Lahiri, Jhumpa",,618101365,9.78062E+12,3,4.18,198,2000,1999,,9/25/07,,,read
Shrub: The Short but Happy Political Life of George W. Bush,Molly Ivins,"Ivins, Molly",Lou Dubose,375757147,9.78038E+12,3,4.09,193,2000,2000,,9/25/07,,,read
A Spot of Bother,Mark Haddon,"Haddon, Mark",,385520514,9.78039E+12,4,3.5,354,2006,2006,,9/25/07,,,read
"The House with a Clock in Its Walls (Lewis Barnavelt, #1)",John Bellairs,"Bellairs, John",Edward Gorey,,,4,3.73,180,2004,1973,,9/25/07,,,read
"A Working Stiff's Manifesto: A Memoir of Thirty Jobs I Quit, Nine That Fired Me, and Three I Can't Remember",Iain Levison,"Levison, Iain",,812967941,9.78081E+12,3,3.88,164,2003,2002,,9/25/07,,,read
The Hungry Ocean: A Swordboat Captain's Journey,Linda Greenlaw,"Greenlaw, Linda",,786885416,9.78079E+12,4,3.85,265,2000,1999,,9/25/07,,,read
The Lobster Chronicles: Life on a Very Small Island,Linda Greenlaw,"Greenlaw, Linda",,786885912,9.78079E+12,4,3.65,238,2003,2002,,9/25/07,,,read
"The Hot Kid (Carl Webster, #1)",Elmore Leonard,"Leonard, Elmore",,60724234,9.78006E+12,4,3.8,387,2006,2005,,9/25/07,,,read
Freaky Deaky,Elmore Leonard,"Leonard, Elmore",,60089555,9.78006E+12,3,3.74,448,2002,1988,,9/25/07,,,read
"Rabbit, Run (Rabbit Angstrom, #1)",John Updike,"Updike, John",,449911659,9.78045E+12,3,3.59,325,1996,1960,,9/25/07,,,read
A Scanner Darkly,Philip K. Dick,"Dick, Philip K.",,057507681X,9.78058E+12,4,4.03,324,2006,1977,,9/25/07,,,read
Survivor,Chuck Palahniuk,"Palahniuk, Chuck",,009928264X,9.7801E+12,4,3.93,289,2000,1999,,9/25/07,,,read
A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,076790818X,9.78077E+12,5,4.22,544,2004,2003,,9/25/07,,,read
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"Bryson, Bill",,307279464,9.78031E+12,5,4.07,397,2006,1998,,9/25/07,,,read
The Price of Salt,Claire  Morgan,"Morgan, Claire",Patricia Highsmith,393325997,9.78039E+12,4,4.02,262,2004,1952,,9/25/07,,,read
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,"Highsmith, Patricia",,,,4,3.95,249,1999,1955,,9/25/07,,,read
A Sand County Almanac and Sketches Here and There,Aldo Leopold,"Leopold, Aldo",Charles W. Schwartz,195007778,9.7802E+12,3,4.31,269,1968,1949,,9/25/07,,,read
Possession,A.S. Byatt,"Byatt, A.S.",,679735909,9.78068E+12,4,3.9,555,1991,1990,,9/25/07,,,read
The Fool's Progress,Edward Abbey,"Abbey, Edward",,805057919,9.78081E+12,3,4.22,528,1998,1988,,9/25/07,,,read
"Hayduke Lives! (Monkey Wrench Gang, #2)",Edward Abbey,"Abbey, Edward",,316004138,9.78032E+12,3,3.66,308,1991,1990,,9/25/07,,,read
"The Monkey Wrench Gang (Monkey Wrench Gang, #1)",Edward Abbey,"Abbey, Edward",,61129763,9.78006E+12,5,4.08,421,2006,1975,,9/25/07,,,read
Desert Solitaire,Edward Abbey,"Abbey, Edward",,345326490,9.78035E+12,5,4.18,337,1971,1968,,9/25/07,,,read
The Stone Diaries,Carol Shields,"Shields, Carol",,143036394,9.78014E+12,3,3.89,269,2005,1993,,9/25/07,,,read
Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,,,4,4.12,467,2006,2002,,9/25/07,,,read
The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,,,5,4.14,607,2002,1994,,9/25/07,,,read
Nine Stories,J.D. Salinger,"Salinger, J.D.",,316767727,9.78032E+12,3,4.18,302,2001,1953,,9/25/07,,,read
The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,316769177,9.78032E+12,5,3.8,277,2001,1951,,9/25/07,,,read
Everything is Illuminated,Jonathan Safran Foer,"Foer, Jonathan Safran",,60529709,9.78006E+12,4,3.89,276,2003,2002,,9/25/07,,,read
Extremely Loud & Incredibly Close,Jonathan Safran Foer,"Foer, Jonathan Safran",,618711651,9.78062E+12,5,3.97,326,2006,2005,,9/25/07,,,read
Holidays on Ice,David Sedaris,"Sedaris, David",,316191299,9.78032E+12,3,3.88,176,1998,1997,,9/25/07,,,read
Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,,,4,3.87,368,1995,1955,,9/25/07,,,read
The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,743273567,9.78074E+12,5,3.93,180,1925,1925,,9/25/07,,,read
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,1400032717,9.7814E+12,4,3.89,226,2004,2003,,9/25/07,,,read
Pastoralia,George Saunders,"Saunders, George",,747553866,9.78075E+12,3,4.06,188,2001,2000,,9/25/07,,,read
Me Talk Pretty One Day,David Sedaris,"Sedaris, David",,349113912,9.78035E+12,4,4.01,272,2001,2000,,9/25/07,,,read
"The Sicilian (The Godfather, #2)",Mario Puzo,"Puzo, Mario",,345441702,9.78035E+12,3,4.04,416,2001,1984,,9/25/07,,,read
The Amazing Adventures of Kavalier & Clay,Michael Chabon,"Chabon, Michael",,312282990,9.78031E+12,5,4.19,639,2001,2000,,9/25/07,,,read
The Call of the Wild,Jack London,"London, Jack",Avi,,,5,3.91,172,2001,1903,,9/25/07,,,read
"The Drawing of the Three (The Dark Tower, #2)",Stephen  King,"King, Stephen",,451210859,9.78045E+12,3,4.24,463,2003,1987,,9/24/07,,,read
"The Gunslinger (The Dark Tower, #1)",Stephen  King,"King, Stephen",,1501143514,9.7815E+12,3,3.91,231,2003,1982,,9/24/07,,,read
